"Código do Produto","Código do Tipo","Código da Apresentação","Código do Sabor","Valor da Caixa"
"LC.C01.0055-7","LC","C01","0055-7",42.06
"LC.C01.0056-6","LC","C01","0056-6",107.44
"LC.C01.0057-5","LC","C01","0057-5",108.75
"LC.C01.0058-4","LC","C01","0058-4",123.75
"LC.C01.0059-3","LC","C01","0059-3",102.65
"LC.C01.0060-2","LC","C01","0060-2",111.24
"LC.C01.0061-1","LC","C01","0061-1",94.98
"LC.C01.0062-0","LC","C01","0062-0",91.10
"LC.C01.0063-8","LC","C01","0063-8",123.93
"LC.C01.0064-7","LC","C01","0064-7",73.44
"LC.C01.0065-6","LC","C01","0065-6",69.05
"LC.C01.0066-5","LC","C01","0066-5",44.62
"LC.C01.0067-4","LC","C01","0067-4",34.86
"LC.C01.0068-3","LC","C01","0068-3",38.02
"LC.C01.0069-2","LC","C01","0069-2",90.11
"LC.C01.0070-1","LC","C01","0070-1",37.61
"LC.C01.0071-0","LC","C01","0071-0",69.53
"LC.C01.0072-8","LC","C01","0072-8",70.92
"LC.C01.0073-7","LC","C01","0073-7",41.85
"LC.C01.0074-6","LC","C01","0074-6",38.12
"LC.C01.0075-5","LC","C01","0075-5",92.01
"LC.C01.0076-4","LC","C01","0076-4",63.85
"LC.C01.0077-3","LC","C01","0077-3",125.28
"LC.C01.0078-2","LC","C01","0078-2",70.50
"LC.C01.0079-1","LC","C01","0079-1",103.28
"LC.C01.0080-0","LC","C01","0080-0",93.75
"LC.C01.0081-8","LC","C01","0081-8",72.12
"LC.C01.0082-7","LC","C01","0082-7",81.14
"LC.C01.0083-6","LC","C01","0083-6",91.45
"LC.C01.0084-5","LC","C01","0084-5",60.62
"LC.C01.0085-4","LC","C01","0085-4",51.12
"LC.C01.0086-3","LC","C01","0086-3",47.49
"LC.C01.0087-2","LC","C01","0087-2",110.51
"LC.C01.0088-1","LC","C01","0088-1",84.26
"LC.C01.0089-0","LC","C01","0089-0",57.43
"LC.C01.0090-8","LC","C01","0090-8",104.92
"LC.C01.0091-7","LC","C01","0091-7",38.66
"LC.C01.0092-6","LC","C01","0092-6",78.16
"LC.C01.0093-5","LC","C01","0093-5",49.42
"LC.C01.0094-4","LC","C01","0094-4",37.77
"LC.C01.0095-3","LC","C01","0095-3",54.93
"LC.C01.0096-2","LC","C01","0096-2",118.67
"LC.C01.0097-1","LC","C01","0097-1",97.32
"LC.C01.0098-0","LC","C01","0098-0",114.74
"LC.C01.0099-8","LC","C01","0099-8",63.67
"LC.C01.0100-7","LC","C01","0100-7",96.37
"LC.C01.0101-6","LC","C01","0101-6",84.92
"LC.C01.0102-5","LC","C01","0102-5",36.48
"LC.C01.0103-4","LC","C01","0103-4",40.26
"LC.C01.0104-3","LC","C01","0104-3",116.55
"LC.C01.0105-2","LC","C01","0105-2",76.55
"LC.C01.0106-1","LC","C01","0106-1",124.88
"LC.C01.0107-0","LC","C01","0107-0",100.54
"LC.C01.0108-8","LC","C01","0108-8",50.22
"LC.C01.0109-7","LC","C01","0109-7",101.88
"LC.C01.0110-6","LC","C01","0110-6",106.62
"LC.C01.0111-5","LC","C01","0111-5",119.87
"LC.C01.0112-4","LC","C01","0112-4",113.08
"LC.C01.0113-3","LC","C01","0113-3",94.79
"LC.C01.0114-2","LC","C01","0114-2",52.98
"LC.C01.0115-1","LC","C01","0115-1",109.38
"LC.C01.0116-0","LC","C01","0116-0",74.91
"LC.C01.0117-8","LC","C01","0117-8",46.75
"LC.C01.0118-7","LC","C01","0118-7",111.17
"LC.C01.0119-6","LC","C01","0119-6",100.97
"LC.C01.0120-5","LC","C01","0120-5",109.75
"LC.C01.0121-4","LC","C01","0121-4",101.37
"LC.C01.0122-3","LC","C01","0122-3",99.95
"LC.C01.0123-2","LC","C01","0123-2",105.37
"LC.C01.0124-1","LC","C01","0124-1",109.77
"LC.C01.0125-0","LC","C01","0125-0",114.49
"LC.C01.0126-8","LC","C01","0126-8",43.96
"LC.C01.0127-7","LC","C01","0127-7",56.31
"LC.C01.0128-6","LC","C01","0128-6",43.54
"LC.C01.0129-5","LC","C01","0129-5",46.60
"LC.C01.0130-4","LC","C01","0130-4",88.25
"LC.C01.0131-3","LC","C01","0131-3",86.27
"LC.C01.0132-2","LC","C01","0132-2",104.79
"LC.C01.0133-1","LC","C01","0133-1",56.25
"LC.C01.0134-0","LC","C01","0134-0",86.75
"LC.C01.0135-8","LC","C01","0135-8",98.40
"LC.C01.0136-7","LC","C01","0136-7",127.42
"LC.C01.0137-6","LC","C01","0137-6",60.31
"LC.C01.0138-5","LC","C01","0138-5",52.03
"LC.C01.0139-4","LC","C01","0139-4",54.01
"LC.C01.0140-3","LC","C01","0140-3",47.31
"LC.C01.0141-2","LC","C01","0141-2",118.18
"LC.C01.0142-1","LC","C01","0142-1",128.51
"LC.C01.0143-0","LC","C01","0143-0",41.69
"LC.C01.0144-8","LC","C01","0144-8",117.81
"LC.C01.0145-7","LC","C01","0145-7",113.73
"LC.C01.0146-6","LC","C01","0146-6",68.67
"LC.C01.0147-5","LC","C01","0147-5",112.66
"LC.C01.0148-4","LC","C01","0148-4",76.22
"LC.C01.0149-3","LC","C01","0149-3",99.42
"LC.C01.0150-2","LC","C01","0150-2",35.69
"LC.C01.0151-1","LC","C01","0151-1",72.36
"LC.C01.0152-0","LC","C01","0152-0",86.51
"LC.C01.0153-8","LC","C01","0153-8",103.95
"LC.C01.0154-7","LC","C01","0154-7",124.34
"LC.C01.0155-6","LC","C01","0155-6",53.12
"LC.C01.0156-5","LC","C01","0156-5",55.84
"LC.C01.0157-4","LC","C01","0157-4",80.97
"LC.C01.0158-3","LC","C01","0158-3",53.66
"LC.C01.0159-2","LC","C01","0159-2",59.37
"LC.C01.0160-1","LC","C01","0160-1",46.61
"LC.C01.0161-0","LC","C01","0161-0",84.23
"LC.C01.0162-8","LC","C01","0162-8",125.02
"LC.C01.0163-7","LC","C01","0163-7",75.45
"LC.C01.0164-6","LC","C01","0164-6",126.35
"LC.C01.0165-5","LC","C01","0165-5",38.58
"LC.C01.0166-4","LC","C01","0166-4",78.70
"LC.C01.0167-3","LC","C01","0167-3",126.50
"LC.C01.0168-2","LC","C01","0168-2",65.11
"LC.C01.0169-1","LC","C01","0169-1",40.59
"LC.C01.0170-0","LC","C01","0170-0",114.15
"LC.C01.0171-8","LC","C01","0171-8",123.57
"LC.C01.0172-7","LC","C01","0172-7",128.50
"LC.C01.0173-6","LC","C01","0173-6",97.54
"LC.C01.0174-5","LC","C01","0174-5",77.99
"LC.C01.0175-4","LC","C01","0175-4",126.08
"LC.C01.0176-3","LC","C01","0176-3",38.05
"LC.C01.0177-2","LC","C01","0177-2",43.81
"LC.C01.0178-1","LC","C01","0178-1",36.69
"LC.C01.0179-0","LC","C01","0179-0",119.20
"LC.C01.0180-8","LC","C01","0180-8",49.93
"LC.C01.0181-7","LC","C01","0181-7",70.05
"LC.C01.0182-6","LC","C01","0182-6",110.14
"LC.C01.0183-5","LC","C01","0183-5",123.51
"LC.C01.0184-4","LC","C01","0184-4",104.12
"LC.C01.0185-3","LC","C01","0185-3",102.43
"LC.C01.0186-2","LC","C01","0186-2",48.93
"LC.C01.0187-1","LC","C01","0187-1",65.03
"LC.C01.0188-0","LC","C01","0188-0",68.32
"LC.C01.0189-8","LC","C01","0189-8",77.25
"LC.C01.0190-7","LC","C01","0190-7",97.94
"LC.C01.0191-6","LC","C01","0191-6",123.86
"LC.C01.0192-5","LC","C01","0192-5",61.69
"LC.C01.0193-4","LC","C01","0193-4",122.11
"LC.C01.0194-3","LC","C01","0194-3",113.36
"LC.C01.0195-2","LC","C01","0195-2",83.09
"LC.C01.0196-1","LC","C01","0196-1",73.94
"LC.C01.0197-0","LC","C01","0197-0",118.50
"LC.C02.0001-7","LC","C02","0001-7",124.94
"LC.C02.0002-6","LC","C02","0002-6",129.02
"LC.C02.0003-5","LC","C02","0003-5",44.46
"LC.C02.0004-4","LC","C02","0004-4",114.67
"LC.C02.0005-3","LC","C02","0005-3",68.74
"LC.C02.0006-2","LC","C02","0006-2",46.38
"LC.C02.0007-1","LC","C02","0007-1",99.77
"LC.C02.0008-0","LC","C02","0008-0",47.23
"LC.C02.0009-8","LC","C02","0009-8",47.92
"LC.C02.0010-7","LC","C02","0010-7",42.91
"LC.C02.0011-6","LC","C02","0011-6",42.29
"LC.C02.0012-5","LC","C02","0012-5",74.44
"LC.C02.0013-4","LC","C02","0013-4",63.08
"LC.C02.0014-3","LC","C02","0014-3",120.82
"LC.C02.0015-2","LC","C02","0015-2",87.32
"LC.C02.0016-1","LC","C02","0016-1",52.41
"LC.C02.0017-0","LC","C02","0017-0",117.47
"LC.C02.0018-8","LC","C02","0018-8",109.22
"LC.C02.0019-7","LC","C02","0019-7",49.43
"LC.C02.0020-6","LC","C02","0020-6",69.11
"LC.C02.0021-5","LC","C02","0021-5",71.46
"LC.C02.0022-4","LC","C02","0022-4",56.97
"LC.C02.0023-3","LC","C02","0023-3",69.47
"LC.C02.0024-2","LC","C02","0024-2",93.00
"LC.C02.0025-1","LC","C02","0025-1",66.16
"LC.C02.0026-0","LC","C02","0026-0",110.09
"LC.C02.0027-8","LC","C02","0027-8",82.80
"LC.C02.0028-7","LC","C02","0028-7",121.90
"LC.C02.0029-6","LC","C02","0029-6",44.86
"LC.C02.0030-5","LC","C02","0030-5",64.11
"LC.C02.0031-4","LC","C02","0031-4",78.69
"LC.C02.0032-3","LC","C02","0032-3",72.25
"LC.C02.0033-2","LC","C02","0033-2",70.48
"LC.C02.0034-1","LC","C02","0034-1",86.45
"LC.C02.0035-0","LC","C02","0035-0",82.41
"LC.C02.0036-8","LC","C02","0036-8",94.71
"LC.C02.0037-7","LC","C02","0037-7",119.59
"LC.C02.0038-6","LC","C02","0038-6",105.90
"LC.C02.0039-5","LC","C02","0039-5",105.76
"LC.C02.0040-4","LC","C02","0040-4",35.94
"LC.C02.0041-3","LC","C02","0041-3",63.75
"LC.C02.0042-2","LC","C02","0042-2",37.01
"LC.C02.0043-1","LC","C02","0043-1",59.01
"LC.C02.0044-0","LC","C02","0044-0",91.24
"LC.C02.0045-8","LC","C02","0045-8",97.30
"LC.C02.0046-7","LC","C02","0046-7",62.90
"LC.C02.0047-6","LC","C02","0047-6",121.66
"LC.C02.0048-5","LC","C02","0048-5",109.42
"LC.C02.0049-4","LC","C02","0049-4",87.08
"LC.C02.0050-3","LC","C02","0050-3",91.49
"LC.C02.0051-2","LC","C02","0051-2",91.81
"LC.C02.0052-1","LC","C02","0052-1",105.35
"LC.C02.0053-0","LC","C02","0053-0",80.14
"LC.C02.0054-8","LC","C02","0054-8",119.45
"LC.C02.0055-7","LC","C02","0055-7",42.31
"LC.C02.0056-6","LC","C02","0056-6",108.09
"LC.C02.0057-5","LC","C02","0057-5",109.41
"LC.C02.0058-4","LC","C02","0058-4",124.50
"LC.C02.0059-3","LC","C02","0059-3",103.27
"LC.C02.0060-2","LC","C02","0060-2",111.91
"LC.C02.0061-1","LC","C02","0061-1",95.55
"LC.C02.0062-0","LC","C02","0062-0",91.65
"LC.C02.0063-8","LC","C02","0063-8",124.68
"LC.C02.0064-7","LC","C02","0064-7",73.88
"LC.C02.0065-6","LC","C02","0065-6",69.47
"LC.C02.0066-5","LC","C02","0066-5",44.89
"LC.C02.0067-4","LC","C02","0067-4",35.07
"LC.C02.0068-3","LC","C02","0068-3",38.25
"LC.C02.0069-2","LC","C02","0069-2",90.65
"LC.C02.0070-1","LC","C02","0070-1",37.84
"LC.C02.0071-0","LC","C02","0071-0",69.95
"LC.C02.0072-8","LC","C02","0072-8",71.35
"LC.C02.0073-7","LC","C02","0073-7",42.10
"LC.C02.0074-6","LC","C02","0074-6",38.35
"LC.C02.0075-5","LC","C02","0075-5",92.57
"LC.C02.0076-4","LC","C02","0076-4",64.24
"LC.C02.0077-3","LC","C02","0077-3",126.04
"LC.C02.0078-2","LC","C02","0078-2",70.93
"LC.C02.0079-1","LC","C02","0079-1",103.90
"LC.C02.0080-0","LC","C02","0080-0",94.32
"LC.C02.0081-8","LC","C02","0081-8",72.56
"LC.C02.0082-7","LC","C02","0082-7",81.63
"LC.C02.0083-6","LC","C02","0083-6",92.00
"LC.C02.0084-5","LC","C02","0084-5",60.99
"LC.C02.0085-4","LC","C02","0085-4",51.43
"LC.C02.0086-3","LC","C02","0086-3",47.78
"LC.C02.0087-2","LC","C02","0087-2",111.18
"LC.C02.0088-1","LC","C02","0088-1",84.77
"LC.C02.0089-0","LC","C02","0089-0",57.78
"LC.C02.0090-8","LC","C02","0090-8",105.55
"LC.C02.0091-7","LC","C02","0091-7",38.89
"LC.C02.0092-6","LC","C02","0092-6",78.63
"LC.C02.0093-5","LC","C02","0093-5",49.72
"LC.C02.0094-4","LC","C02","0094-4",38.00
"LC.C02.0095-3","LC","C02","0095-3",55.26
"LC.C02.0096-2","LC","C02","0096-2",119.39
"LC.C02.0097-1","LC","C02","0097-1",97.91
"LC.C02.0098-0","LC","C02","0098-0",115.43
"LC.C02.0099-8","LC","C02","0099-8",64.05
"LC.C02.0100-7","LC","C02","0100-7",96.95
"LC.C02.0101-6","LC","C02","0101-6",85.43
"LC.C02.0102-5","LC","C02","0102-5",36.70
"LC.C02.0103-4","LC","C02","0103-4",40.50
"LC.C02.0104-3","LC","C02","0104-3",117.25
"LC.C02.0105-2","LC","C02","0105-2",77.01
"LC.C02.0106-1","LC","C02","0106-1",125.63
"LC.C02.0107-0","LC","C02","0107-0",101.15
"LC.C02.0108-8","LC","C02","0108-8",50.52
"LC.C02.0109-7","LC","C02","0109-7",102.50
"LC.C02.0110-6","LC","C02","0110-6",107.26
"LC.C02.0111-5","LC","C02","0111-5",120.59
"LC.C02.0112-4","LC","C02","0112-4",113.76
"LC.C02.0113-3","LC","C02","0113-3",95.36
"LC.C02.0114-2","LC","C02","0114-2",53.30
"LC.C02.0115-1","LC","C02","0115-1",110.04
"LC.C02.0116-0","LC","C02","0116-0",75.36
"LC.C02.0117-8","LC","C02","0117-8",47.03
"LC.C02.0118-7","LC","C02","0118-7",111.84
"LC.C02.0119-6","LC","C02","0119-6",101.58
"LC.C02.0120-5","LC","C02","0120-5",110.41
"LC.C02.0121-4","LC","C02","0121-4",101.98
"LC.C02.0122-3","LC","C02","0122-3",100.55
"LC.C02.0123-2","LC","C02","0123-2",106.01
"LC.C02.0124-1","LC","C02","0124-1",110.43
"LC.C02.0125-0","LC","C02","0125-0",115.18
"LC.C02.0126-8","LC","C02","0126-8",44.23
"LC.C02.0127-7","LC","C02","0127-7",56.65
"LC.C02.0128-6","LC","C02","0128-6",43.80
"LC.C02.0129-5","LC","C02","0129-5",46.88
"LC.C02.0130-4","LC","C02","0130-4",88.78
"LC.C02.0131-3","LC","C02","0131-3",86.79
"LC.C02.0132-2","LC","C02","0132-2",105.42
"LC.C02.0133-1","LC","C02","0133-1",56.59
"LC.C02.0134-0","LC","C02","0134-0",87.27
"LC.C02.0135-8","LC","C02","0135-8",98.99
"LC.C02.0136-7","LC","C02","0136-7",128.19
"LC.C02.0137-6","LC","C02","0137-6",60.67
"LC.C02.0138-5","LC","C02","0138-5",52.34
"LC.C02.0139-4","LC","C02","0139-4",54.34
"LC.C02.0140-3","LC","C02","0140-3",47.60
"LC.C02.0141-2","LC","C02","0141-2",118.89
"LC.C02.0142-1","LC","C02","0142-1",129.29
"LC.C02.0143-0","LC","C02","0143-0",41.94
"LC.C02.0144-8","LC","C02","0144-8",118.52
"LC.C02.0145-7","LC","C02","0145-7",114.42
"LC.C02.0146-6","LC","C02","0146-6",69.08
"LC.C02.0147-5","LC","C02","0147-5",113.34
"LC.C02.0148-4","LC","C02","0148-4",76.68
"LC.C02.0149-3","LC","C02","0149-3",100.02
"LC.C02.0150-2","LC","C02","0150-2",35.91
"LC.C02.0151-1","LC","C02","0151-1",72.80
"LC.C02.0152-0","LC","C02","0152-0",87.03
"LC.C02.0153-8","LC","C02","0153-8",104.58
"LC.C02.0154-7","LC","C02","0154-7",125.09
"LC.C02.0155-6","LC","C02","0155-6",53.44
"LC.C02.0156-5","LC","C02","0156-5",56.18
"LC.C02.0157-4","LC","C02","0157-4",81.46
"LC.C02.0158-3","LC","C02","0158-3",53.98
"LC.C02.0159-2","LC","C02","0159-2",59.73
"LC.C02.0160-1","LC","C02","0160-1",46.89
"LC.C02.0161-0","LC","C02","0161-0",84.74
"LC.C02.0162-8","LC","C02","0162-8",125.77
"LC.C02.0163-7","LC","C02","0163-7",75.91
"LC.C02.0164-6","LC","C02","0164-6",127.11
"LC.C02.0165-5","LC","C02","0165-5",38.81
"LC.C02.0166-4","LC","C02","0166-4",79.18
"LC.C02.0167-3","LC","C02","0167-3",127.26
"LC.C02.0168-2","LC","C02","0168-2",65.50
"LC.C02.0169-1","LC","C02","0169-1",40.84
"LC.C02.0170-0","LC","C02","0170-0",114.84
"LC.C02.0171-8","LC","C02","0171-8",124.32
"LC.C02.0172-7","LC","C02","0172-7",129.28
"LC.C02.0173-6","LC","C02","0173-6",98.13
"LC.C02.0174-5","LC","C02","0174-5",78.46
"LC.C02.0175-4","LC","C02","0175-4",126.84
"LC.C02.0176-3","LC","C02","0176-3",38.28
"LC.C02.0177-2","LC","C02","0177-2",44.07
"LC.C02.0178-1","LC","C02","0178-1",36.91
"LC.C02.0179-0","LC","C02","0179-0",119.92
"LC.C02.0180-8","LC","C02","0180-8",50.23
"LC.C02.0181-7","LC","C02","0181-7",70.47
"LC.C02.0182-6","LC","C02","0182-6",110.80
"LC.C02.0183-5","LC","C02","0183-5",124.26
"LC.C02.0184-4","LC","C02","0184-4",104.75
"LC.C02.0185-3","LC","C02","0185-3",103.05
"LC.C02.0186-2","LC","C02","0186-2",49.23
"LC.C02.0187-1","LC","C02","0187-1",65.42
"LC.C02.0188-0","LC","C02","0188-0",68.73
"LC.C02.0189-8","LC","C02","0189-8",77.72
"LC.C02.0190-7","LC","C02","0190-7",98.53
"LC.C02.0191-6","LC","C02","0191-6",124.61
"LC.C02.0192-5","LC","C02","0192-5",62.06
"LC.C02.0193-4","LC","C02","0193-4",122.85
"LC.C02.0194-3","LC","C02","0194-3",114.04
"LC.C02.0195-2","LC","C02","0195-2",83.59
"LC.C02.0196-1","LC","C02","0196-1",74.39
"LC.C02.0197-0","LC","C02","0197-0",119.22
"LC.C03.0001-7","LC","C03","0001-7",123.69
"LC.C03.0002-6","LC","C03","0002-6",127.73
"LC.C03.0003-5","LC","C03","0003-5",44.02
"LC.C03.0004-4","LC","C03","0004-4",113.52
"LC.C03.0005-3","LC","C03","0005-3",68.05
"LC.C03.0006-2","LC","C03","0006-2",45.92
"LC.C03.0007-1","LC","C03","0007-1",98.77
"LC.C03.0008-0","LC","C03","0008-0",46.76
"LC.C03.0009-8","LC","C03","0009-8",47.44
"LC.C03.0010-7","LC","C03","0010-7",42.48
"LC.C03.0011-6","LC","C03","0011-6",41.87
"LC.C03.0012-5","LC","C03","0012-5",73.70
"LC.C03.0013-4","LC","C03","0013-4",62.45
"LC.C03.0014-3","LC","C03","0014-3",119.61
"LC.C03.0015-2","LC","C03","0015-2",86.45
"LC.C03.0016-1","LC","C03","0016-1",51.89
"LC.C03.0017-0","LC","C03","0017-0",116.30
"LC.C03.0018-8","LC","C03","0018-8",108.13
"LC.C03.0019-7","LC","C03","0019-7",48.94
"LC.C03.0020-6","LC","C03","0020-6",68.42
"LC.C03.0021-5","LC","C03","0021-5",70.75
"LC.C03.0022-4","LC","C03","0022-4",56.40
"LC.C03.0023-3","LC","C03","0023-3",68.78
"LC.C03.0024-2","LC","C03","0024-2",92.07
"LC.C03.0025-1","LC","C03","0025-1",65.50
"LC.C03.0026-0","LC","C03","0026-0",108.99
"LC.C03.0027-8","LC","C03","0027-8",81.97
"LC.C03.0028-7","LC","C03","0028-7",120.68
"LC.C03.0029-6","LC","C03","0029-6",44.41
"LC.C03.0030-5","LC","C03","0030-5",63.47
"LC.C03.0031-4","LC","C03","0031-4",77.90
"LC.C03.0032-3","LC","C03","0032-3",71.53
"LC.C03.0033-2","LC","C03","0033-2",69.78
"LC.C03.0034-1","LC","C03","0034-1",85.59
"LC.C03.0035-0","LC","C03","0035-0",81.59
"LC.C03.0036-8","LC","C03","0036-8",93.76
"LC.C03.0037-7","LC","C03","0037-7",118.39
"LC.C03.0038-6","LC","C03","0038-6",104.84
"LC.C03.0039-5","LC","C03","0039-5",104.70
"LC.C03.0040-4","LC","C03","0040-4",35.58
"LC.C03.0041-3","LC","C03","0041-3",63.11
"LC.C03.0042-2","LC","C03","0042-2",36.64
"LC.C03.0043-1","LC","C03","0043-1",58.42
"LC.C03.0044-0","LC","C03","0044-0",90.33
"LC.C03.0045-8","LC","C03","0045-8",96.33
"LC.C03.0046-7","LC","C03","0046-7",62.27
"LC.C03.0047-6","LC","C03","0047-6",120.44
"LC.C03.0048-5","LC","C03","0048-5",108.33
"LC.C03.0049-4","LC","C03","0049-4",86.21
"LC.C03.0050-3","LC","C03","0050-3",90.58
"LC.C03.0051-2","LC","C03","0051-2",90.89
"LC.C03.0052-1","LC","C03","0052-1",104.30
"LC.C03.0053-0","LC","C03","0053-0",79.34
"LC.C03.0054-8","LC","C03","0054-8",118.26
"LC.C03.0055-7","LC","C03","0055-7",41.89
"LC.C03.0056-6","LC","C03","0056-6",107.01
"LC.C03.0057-5","LC","C03","0057-5",108.32
"LC.C03.0058-4","LC","C03","0058-4",123.26
"LC.C03.0059-3","LC","C03","0059-3",102.24
"LC.C03.0060-2","LC","C03","0060-2",110.79
"LC.C03.0061-1","LC","C03","0061-1",94.59
"LC.C03.0062-0","LC","C03","0062-0",90.73
"LC.C03.0063-8","LC","C03","0063-8",123.43
"LC.C03.0064-7","LC","C03","0064-7",73.14
"LC.C03.0065-6","LC","C03","0065-6",68.78
"LC.C03.0066-5","LC","C03","0066-5",44.44
"LC.C03.0067-4","LC","C03","0067-4",34.72
"LC.C03.0068-3","LC","C03","0068-3",37.87
"LC.C03.0069-2","LC","C03","0069-2",89.74
"LC.C03.0070-1","LC","C03","0070-1",37.46
"LC.C03.0071-0","LC","C03","0071-0",69.25
"LC.C03.0072-8","LC","C03","0072-8",70.64
"LC.C03.0073-7","LC","C03","0073-7",41.68
"LC.C03.0074-6","LC","C03","0074-6",37.97
"LC.C03.0075-5","LC","C03","0075-5",91.64
"LC.C03.0076-4","LC","C03","0076-4",63.60
"LC.C03.0077-3","LC","C03","0077-3",124.78
"LC.C03.0078-2","LC","C03","0078-2",70.22
"LC.C03.0079-1","LC","C03","0079-1",102.86
"LC.C03.0080-0","LC","C03","0080-0",93.38
"LC.C03.0081-8","LC","C03","0081-8",71.83
"LC.C03.0082-7","LC","C03","0082-7",80.81
"LC.C03.0083-6","LC","C03","0083-6",91.08
"LC.C03.0084-5","LC","C03","0084-5",60.38
"LC.C03.0085-4","LC","C03","0085-4",50.92
"LC.C03.0086-3","LC","C03","0086-3",47.30
"LC.C03.0087-2","LC","C03","0087-2",110.07
"LC.C03.0088-1","LC","C03","0088-1",83.92
"LC.C03.0089-0","LC","C03","0089-0",57.20
"LC.C03.0090-8","LC","C03","0090-8",104.49
"LC.C03.0091-7","LC","C03","0091-7",38.50
"LC.C03.0092-6","LC","C03","0092-6",77.84
"LC.C03.0093-5","LC","C03","0093-5",49.22
"LC.C03.0094-4","LC","C03","0094-4",37.62
"LC.C03.0095-3","LC","C03","0095-3",54.71
"LC.C03.0096-2","LC","C03","0096-2",118.20
"LC.C03.0097-1","LC","C03","0097-1",96.93
"LC.C03.0098-0","LC","C03","0098-0",114.28
"LC.C03.0099-8","LC","C03","0099-8",63.41
"LC.C03.0100-7","LC","C03","0100-7",95.98
"LC.C03.0101-6","LC","C03","0101-6",84.58
"LC.C03.0102-5","LC","C03","0102-5",36.33
"LC.C03.0103-4","LC","C03","0103-4",40.10
"LC.C03.0104-3","LC","C03","0104-3",116.08
"LC.C03.0105-2","LC","C03","0105-2",76.24
"LC.C03.0106-1","LC","C03","0106-1",124.37
"LC.C03.0107-0","LC","C03","0107-0",100.14
"LC.C03.0108-8","LC","C03","0108-8",50.01
"LC.C03.0109-7","LC","C03","0109-7",101.48
"LC.C03.0110-6","LC","C03","0110-6",106.19
"LC.C03.0111-5","LC","C03","0111-5",119.38
"LC.C03.0112-4","LC","C03","0112-4",112.62
"LC.C03.0113-3","LC","C03","0113-3",94.41
"LC.C03.0114-2","LC","C03","0114-2",52.77
"LC.C03.0115-1","LC","C03","0115-1",108.94
"LC.C03.0116-0","LC","C03","0116-0",74.61
"LC.C03.0117-8","LC","C03","0117-8",46.56
"LC.C03.0118-7","LC","C03","0118-7",110.72
"LC.C03.0119-6","LC","C03","0119-6",100.56
"LC.C03.0120-5","LC","C03","0120-5",109.31
"LC.C03.0121-4","LC","C03","0121-4",100.96
