"Número da Nota Fiscal","Código do Vendedor","Data da Venda","Código do Cliente","Código IBGE","Código da Forma de Pagamento"
"000284","V1130",01/05/2017,"6719","3152303","2"
"000285","V1260",01/05/2017,"4980","2402303","4"
"000286","V1030",01/05/2017,"9232","2110807","2"
"000287","V1030",01/05/2017,"9559","1200336","2"
"000288","V1030",01/05/2017,"9232","3204302","2"
"000289","V1230",01/05/2017,"4980","3124401","4"
"000290","V1060",01/05/2017,"2046","2900801","1"
"000291","V1190",01/05/2017,"5835","1506104","4"
"000292","V1020",01/05/2017,"4040","2201572","1"
"000293","V1180",01/05/2017,"6809","1707405","3"
"000294","V1060",01/06/2017,"1424","2904704","4"
"000295","V1090",01/06/2017,"8573","4203600","1"
"000296","V1020",01/06/2017,"5956","1702000","1"
"000297","V1050",01/06/2017,"1424","3138906","4"
"000298","V1230",01/06/2017,"3794","2400802","1"
"000299","V1200",01/06/2017,"6719","4107652","3"
"000300","V1220",01/06/2017,"4654","4322541","2"
"000301","V1080",01/06/2017,"3794","3110806","3"
"000302","V1060",01/06/2017,"5956","3140100","3"
"000303","V1070",01/06/2017,"5323","4123907","3"
"000304","V1230",01/06/2017,"8573","4128658","4"
"000305","V1020",01/06/2017,"8961","2104305","1"
"000306","V1240",01/06/2017,"4964","5218102","1"
"000307","V1290",01/06/2017,"3589","3305554","3"
"000308","V1260",01/06/2017,"6938","3170107","2"
"000309","V1240",01/06/2017,"8573","2105963","1"
"000310","V1110",01/06/2017,"6809","4307401","2"
"000311","V1250",01/06/2017,"4964","2512408","3"
"000312","V1290",01/06/2017,"5956","2311264","4"
"000313","V1250",01/06/2017,"2341","5105200","1"
"000314","V1270",01/06/2017,"9559","3520004","2"
"000315","V1150",01/06/2017,"8573","3138005","2"
"000316","V1100",01/06/2017,"2341","4207700","2"
"000317","V1110",01/06/2017,"5323","3514924","3"
"000318","V1170",01/06/2017,"9232","3145604","4"
"000319","V1230",01/06/2017,"4980","3535507","3"
"000320","V1170",01/06/2017,"5835","4108650","2"
"000321","V1160",01/06/2017,"8803","3302205","3"
"000322","V1080",01/06/2017,"1424","4117255","3"
"000323","V1250",01/06/2017,"4040","1508357","2"
"000324","V1260",01/06/2017,"3589","3535507","3"
"000325","V1160",01/06/2017,"3794","2204501","3"
"000326","V1260",01/06/2017,"6809","3204203","1"
"000327","V1260",01/06/2017,"2341","4103602","2"
"000328","V1050",01/06/2017,"9225","2605509","2"
"000329","V1120",01/06/2017,"5835","3303104","3"
"000330","V1290",01/06/2017,"9969","3511409","3"
"000331","V1280",01/06/2017,"4964","4127304","1"
"000332","V1130",01/06/2017,"4964","5103700","4"
"000333","V1040",01/06/2017,"4642","4200903","4"
"000334","V1090",01/06/2017,"9969","1703206","4"
"000335","V1050",01/06/2017,"9559","3125507","2"
"000336","V1260",01/06/2017,"4980","3142106","4"
"000337","V1010",01/06/2017,"5835","3531506","2"
"000338","V1210",01/06/2017,"8803","3526605","3"
"000339","V1040",01/06/2017,"5604","4117271","2"
"000340","V1220",01/06/2017,"2341","3555356","3"
"000341","V1250",01/06/2017,"9232","4319158","1"
"000342","V1160",01/06/2017,"5835","2616407","2"
"000343","V1170",01/06/2017,"4642","2611705","3"
"000344","V1170",01/06/2017,"5835","3161502","1"
"000345","V1020",01/06/2017,"4642","3528007","3"
"000346","V1050",01/06/2017,"6162","1718303","3"
"000347","V1250",01/06/2017,"1424","3510203","3"
"000348","V1160",01/06/2017,"8573","1721208","3"
"000349","V1150",01/06/2017,"3081","2406502","2"
"000350","V1170",01/06/2017,"6162","4300109","3"
"000351","V1170",01/06/2017,"9232","4305900","4"
"000352","V1060",01/06/2017,"1682","2302404","1"
"000353","V1260",01/06/2017,"4040","2202604","3"
"000354","V1240",01/06/2017,"5835","2933059","3"
"000355","V1260",01/06/2017,"8961","2309805","1"
"000356","V1140",01/06/2017,"6809","2202711","4"
"000357","V1210",01/06/2017,"8803","3526605","1"
"000358","V1070",01/07/2017,"5323","3109204","3"
"000359","V1060",01/07/2017,"8961","5220405","4"
"000360","V1180",01/07/2017,"8465","3141702","1"
"000361","V1150",01/07/2017,"4642","3513900","1"
"000362","V1110",01/07/2017,"3794","2922508","1"
"000363","V1020",01/07/2017,"3589","4305355","1"
"000364","V1120",01/07/2017,"4980","1501253","4"
"000365","V1160",01/07/2017,"4964","4105805","4"
"000366","V1300",01/07/2017,"4040","4320503","1"
"000367","V1220",01/07/2017,"6719","2203271","1"
"000368","V1040",01/07/2017,"9969","2108306","2"
"000369","V1220",01/07/2017,"3589","3117009","2"
"000370","V1210",01/07/2017,"4980","5106182","2"
"000371","V1130",01/07/2017,"1229","3121605","1"
"000372","V1080",01/07/2017,"4964","3550506","1"
"000373","V1090",01/07/2017,"5956","4114203","4"
"000374","V1140",01/07/2017,"6162","2403806","1"
"000375","V1290",01/07/2017,"6162","3528601","3"
"000376","V1230",01/07/2017,"1229","2602209","3"
"000377","V1190",01/07/2017,"8803","3537909","1"
"000378","V1290",01/07/2017,"9232","4218103","4"
"000379","V1170",01/07/2017,"1229","2201804","2"
"000380","V1250",01/07/2017,"6809","3537404","3"
"000381","V1280",01/07/2017,"6938","3150000","4"
"000382","V1020",01/07/2017,"6162","4209805","1"
"000383","V1240",01/07/2017,"1424","2301901","1"
"000384","V1010",01/07/2017,"3589","3543105","4"
"000385","V1100",01/07/2017,"9559","3138625","1"
"000386","V1300",01/07/2017,"4642","2612554","1"
"000387","V1020",01/07/2017,"1424","2515971","2"
"000388","V1220",01/07/2017,"3081","5213905","1"
"000389","V1080",01/07/2017,"1229","2306553","1"
"000390","V1060",01/07/2017,"4642","1702554","1"
"000391","V1300",01/07/2017,"5835","5208400","4"
"000392","V1100",01/07/2017,"2046","3113800","1"
"000393","V1060",01/07/2017,"1424","4220000","1"
"000394","V1140",01/07/2017,"3794","4210605","1"
"000395","V1190",01/07/2017,"4980","5103601","3"
"000396","V1040",01/07/2017,"4654","2803005","3"
"000397","V1210",01/07/2017,"4642","3507506","4"
"000398","V1300",01/07/2017,"5604","3100104","2"
"000399","V1150",01/07/2017,"5323","3200169","4"
"000400","V1100",01/07/2017,"4642","4200507","1"
"000401","V1210",01/07/2017,"6162","2412203","2"
"000402","V1120",01/07/2017,"4964","2305233","2"
"000403","V1040",01/07/2017,"3589","2404408","2"
"000404","V1170",01/07/2017,"5604","3137536","2"
"000405","V1020",01/07/2017,"1424","2201051","3"
"000406","V1120",01/07/2017,"3794","2111904","3"
"000407","V1040",01/07/2017,"8803","3513504","1"
"000408","V1260",01/07/2017,"9969","3168309","3"
"000409","V1040",01/07/2017,"6938","2505105","3"
"000410","V1240",01/07/2017,"3794","3152402","1"
"000411","V1260",01/08/2017,"3794","2927903","1"
"000412","V1050",01/08/2017,"6719","3135407","3"
"000413","V1090",01/08/2017,"8465","2914505","4"
"000414","V1230",01/08/2017,"9969","2609501","3"
"000415","V1010",01/08/2017,"1682","3515186","1"
"000416","V1030",01/08/2017,"6162","3543501","1"
"000417","V1280",01/08/2017,"8961","2929255","4"
"000418","V1290",01/08/2017,"9225","4315057","4"
"000419","V1040",01/08/2017,"1682","1503101","3"
"000420","V1200",01/08/2017,"9232","3134608","4"
"000421","V1240",01/08/2017,"9232","5205406","1"
"000422","V1040",01/08/2017,"8465","4120333","2"
"000423","V1160",01/08/2017,"3794","4312377","4"
"000424","V1260",01/08/2017,"8573","3501004","3"
"000425","V1030",01/08/2017,"5835","3532603","2"
"000426","V1020",01/08/2017,"8803","5208509","2"
"000427","V1220",01/08/2017,"8465","5201207","3"
"000428","V1090",01/08/2017,"8573","2602001","1"
"000429","V1200",01/08/2017,"6162","3139201","2"
"000430","V1300",01/08/2017,"3589","3102852","4"
"000431","V1050",01/08/2017,"5604","3530607","4"
"000432","V1030",01/08/2017,"3589","3132107","2"
"000433","V1120",01/08/2017,"6719","5207535","3"
"000434","V1130",01/08/2017,"1424","3514957","1"
"000435","V1030",01/08/2017,"4980","4320552","3"
"000436","V1160",01/08/2017,"9225","1705508","3"
"000437","V1070",01/08/2017,"9969","2106375","2"
"000438","V1030",01/08/2017,"9232","1502954","4"
"000439","V1300",01/08/2017,"9232","4124202","2"
"000440","V1280",01/08/2017,"5956","4124301","4"
"000441","V1120",01/08/2017,"6809","2508554","3"
"000442","V1270",01/08/2017,"4980","1718881","3"
"000443","V1090",01/08/2017,"8465","3146206","1"
"000444","V1080",01/08/2017,"3081","2926905","3"
"000445","V1270",01/08/2017,"8961","2107407","2"
"000446","V1150",01/08/2017,"1229","4128401","3"
"000447","V1180",01/08/2017,"8961","3119203","1"
"000448","V1110",01/08/2017,"9969","4101002","2"
"000449","V1110",01/08/2017,"6162","3516507","3"
"000450","V1100",01/08/2017,"4642","3529658","1"
"000451","V1240",01/08/2017,"6809","1400472","2"
"000452","V1120",01/08/2017,"9232","1506708","1"
"000453","V1230",01/08/2017,"8465","3120151","1"
"000454","V1220",01/08/2017,"8961","1503606","1"
"000455","V1130",01/08/2017,"4642","3110707","2"
"000456","V1060",01/08/2017,"6938","3113107","3"
"000457","V1220",01/08/2017,"6162","2505402","2"
"000458","V1240",01/09/2017,"3589","3302809","2"
"000459","V1190",01/09/2017,"8465","3138104","4"
"000460","V1010",01/09/2017,"2046","3105103","3"
"000461","V1100",01/09/2017,"1229","2925006","2"
"000462","V1280",01/09/2017,"9559","4316808","3"
"000463","V1150",01/09/2017,"9225","3122405","4"
"000464","V1300",01/09/2017,"8573","3157252","1"
"000465","V1180",01/09/2017,"9559","4117222","3"
"000466","V1200",01/09/2017,"4980","3517802","4"
"000467","V1020",01/09/2017,"6938","3204104","3"
"000468","V1300",01/09/2017,"1682","4321469","2"
"000469","V1070",01/09/2017,"5835","2200905","3"
"000470","V1230",01/09/2017,"1682","2312106","1"
"000471","V1150",01/09/2017,"1682","4116307","4"
"000472","V1030",01/09/2017,"3794","4202578","2"
"000473","V1090",01/09/2017,"1229","2104107","2"
"000474","V1250",01/09/2017,"3081","5219712","4"
"000475","V1200",01/09/2017,"5323","3141900","2"
"000476","V1230",01/09/2017,"1424","4321907","1"
"000477","V1270",01/09/2017,"4964","5103452","1"
"000478","V1260",01/09/2017,"3081","3305554","4"
"000479","V1010",01/09/2017,"4654","1720499","4"
"000480","V1250",01/09/2017,"5835","2103901","4"
"000481","V1280",01/09/2017,"5956","5217302","4"
"000482","V1230",01/09/2017,"5323","5208103","2"
"000483","V1060",01/09/2017,"3589","2911501","1"
"000484","V1130",01/09/2017,"1424","1707652","1"
"000485","V1030",01/09/2017,"3081","4209904","1"
"000486","V1290",01/09/2017,"4964","4309050","4"
"000487","V1160",01/09/2017,"5604","3204401","4"
"000488","V1160",01/09/2017,"3081","4115200","2"
"000489","V1170",01/09/2017,"3794","2607901","3"
"000490","V1220",01/09/2017,"5835","2206753","3"
"000491","V1220",01/09/2017,"5835","5004908","1"
"000492","V1210",01/09/2017,"5323","3522307","1"
"000493","V1090",01/09/2017,"6809","3157500","1"
"000494","V1100",01/09/2017,"2341","2210391","4"
"000495","V1120",01/09/2017,"5604","2207777","3"
"000496","V1280",01/09/2017,"5835","2412302","1"
"000497","V1150",01/09/2017,"8465","2201739","2"
"000498","V1050",01/09/2017,"9969","2503803","3"
"000499","V1100",01/09/2017,"2341","3203304","4"
"000500","V1220",01/09/2017,"2046","3549201","1"
"000501","V1160",01/09/2017,"1424","4126603","3"
"000502","V1180",01/09/2017,"9225","2311405","2"
"000503","V1080",01/09/2017,"1229","4308433","1"
"000504","V1120",01/09/2017,"6809","4105706","3"
"000505","V1060",01/09/2017,"3794","2401206","1"
"000506","V1020",01/09/2017,"2341","4313409","2"
"000507","V1050",01/09/2017,"5835","3521150","2"
"000508","V1120",01/09/2017,"9969","2925931","4"
"000509","V1230",01/09/2017,"1229","2104628","4"
"000510","V1020",01/09/2017,"3589","2401305","3"
"000511","V1160",01/09/2017,"1424","3527603","1"
"000512","V1200",01/09/2017,"8465","2607307","4"
"000513","V1130",01/09/2017,"1682","4106555","4"
"000514","V1120",01/09/2017,"4654","2101301","1"
"000515","V1160",01/09/2017,"6938","2902609","4"
"000516","V1060",01/10/2017,"2341","2202752","2"
"000517","V1140",01/10/2017,"1682","4303509","4"
"000518","V1280",01/10/2017,"9969","2209351","3"
"000519","V1040",01/10/2017,"1229","2922805","3"
"000520","V1100",01/10/2017,"8573","3127305","2"
"000521","V1220",01/10/2017,"8803","5105234","2"
"000522","V1120",01/10/2017,"9232","4319109","2"
"000523","V1160",01/10/2017,"5835","1702000","3"
"000524","V1260",01/10/2017,"8803","3129400","3"
"000525","V1060",01/10/2017,"3589","2205573","1"
"000526","V1220",01/10/2017,"1424","3306008","3"
"000527","V1090",01/10/2017,"9232","2100154","4"
"000528","V1010",01/10/2017,"9969","3124203","3"
"000529","V1150",01/10/2017,"9969","2111631","3"
"000530","V1160",01/10/2017,"4642","2414001","2"
"000531","V1170",01/10/2017,"5604","1303536","3"
"000532","V1220",01/10/2017,"9232","4212403","4"
"000533","V1270",01/10/2017,"8573","3515657","2"
"000534","V1150",01/10/2017,"8961","2610608","4"
